"from_id","to_id"
10,1001
10,1002
10,1003
10,1004
10,1005
10,1006
10,1007
10,1008
10,1009
10,1010
10,1011
10,1012
10,1013
10,1014
10,1015
10,1016
10,1017
10,1018
10,1019
10,1020
10,1021
10,1022
10,1023
10,1024
10,1025
10,1026
10,1027
10,1028
10,1029
10,1030
10,1031
10,1032
10,1033
10,1034
10,1035
10,1036
10,1037
10,1038
10,1039
10,1040
10,1041
10,1042
10,1043
10,1044
10,1045
10,1046
10,1047
10,1048
10,1049
10,1050
10,1051
10,1052
10,1053
10,1054
10,1055
10,1056
10,1057
10,1058
10,1059
10,1060
10,1061
10,1062
10,1063
10,1064
10,1065
10,1066
10,1067
10,1068
10,1069
10,1070
10,1071
10,1072
10,1073
10,1074
10,1075
10,1076
10,1077
10,1078
10,1079
10,1080
10,1081
10,1082
10,1083
10,1084
10,1085
10,1086
10,1087
10,1088
10,1089
10,1090
10,1091
10,1092
10,1093
10,1094
10,1095
10,1096
10,1097
10,1098
10,1099
10,1100
10,1101
10,1102
10,1103
10,1104
10,1105
10,1106
11,2001
11,2002
11,2003
11,2004
11,2005
11,2006
11,2007
11,2008
11,2009
11,2010
11,2011
11,2012
11,2013
11,2014
11,2015
11,2016
11,2017
11,2018
11,2019
11,2020
11,2021
11,2022
11,2023
11,2024
11,2025
11,2026
11,2027
11,2028
11,2029
11,2030
11,2031
11,2032
11,2033
11,2034
11,2035
11,2036
11,2037
11,2038
11,2039
11,2040
11,2041
11,2042
11,2043
11,2044
11,2045
11,2046
11,2047
11,2048
11,2049
11,2050
11,2051
11,2052
11,2053
11,2054
11,2055
11,2056
11,2057
11,2058
11,2059
11,2060
11,2061
11,2062
11,2063
11,2064
11,2065
11,2066
11,2067
11,2068
11,2069
11,2070
11,2071
11,2072
11,2073
11,2074
11,2075
11,2076
11,2077
11,2078
11,2079
11,2080
11,2081
11,2082
11,2083
11,2084
11,2085
11,2086
11,2087
11,2088
11,2089
11,2090
11,2091
11,2092
11,2093
11,2094
11,2095
11,2096
11,2097
11,2098
11,2099
11,2100
11,2101
11,2102
